id,adjusted points,adjusted points per game,assists,assists_week1,assists_week10,assists_week11,assists_week12,assists_week13,assists_week14,assists_week15,assists_week16,assists_week17,assists_week18,assists_week19,assists_week2,assists_week20,assists_week21,assists_week3,assists_week4,assists_week5,assists_week6,assists_week7,assists_week8,assists_week9,bonus,bonus_week1,bonus_week10,bonus_week11,bonus_week12,bonus_week13,bonus_week14,bonus_week15,bonus_week16,bonus_week17,bonus_week18,bonus_week19,bonus_week2,bonus_week20,bonus_week21,bonus_week3,bonus_week4,bonus_week5,bonus_week6,bonus_week7,bonus_week8,bonus_week9,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheet_points,clean_sheets,cleansheet_week1,cleansheet_week10,cleansheet_week11,cleansheet_week12,cleansheet_week13,cleansheet_week14,cleansheet_week15,cleansheet_week16,cleansheet_week17,cleansheet_week18,cleansheet_week19,cleansheet_week2,cleansheet_week20,cleansheet_week21,cleansheet_week3,cleansheet_week4,cleansheet_week5,cleansheet_week6,cleansheet_week7,cleansheet_week8,cleansheet_week9,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form 10,form 15,form 20,form 5,games played,gameweek,gameweek 10 prediction,gameweek 11 prediction,gameweek 12 prediction,gameweek 13 prediction,gameweek 14 prediction,gameweek 15 prediction,gameweek 16 prediction,gameweek 17 prediction,gameweek 18 prediction,gameweek 19 prediction,gameweek 2 prediction,gameweek 20 prediction,gameweek 21 prediction,gameweek 22 prediction,gameweek 23 prediction,gameweek 24 prediction,gameweek 25 prediction,gameweek 26 prediction,gameweek 27 prediction,gameweek 28 prediction,gameweek 29 prediction,gameweek 3 prediction,gameweek 30 prediction,gameweek 4 prediction,gameweek 5 prediction,gameweek 6 prediction,gameweek 7 prediction,gameweek 8 prediction,gameweek 9 prediction,goals_conceded,goals_scored,goals_week1,goals_week10,goals_week11,goals_week12,goals_week13,goals_week14,goals_week15,goals_week16,goals_week17,goals_week18,goals_week19,goals_week2,goals_week20,goals_week21,goals_week3,goals_week4,goals_week5,goals_week6,goals_week7,goals_week8,goals_week9,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,team_name,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value,value form 10,value form 5,valuePoints metric,value_form,value_next10,value_season,web_name,xA,xA_points,xA_week1,xA_week10,xA_week11,xA_week12,xA_week13,xA_week14,xA_week15,xA_week16,xA_week17,xA_week18,xA_week19,xA_week2,xA_week20,xA_week21,xA_week3,xA_week4,xA_week5,xA_week6,xA_week7,xA_week8,xA_week9,xG,xG+xA,xG+xA per game,xGA_week1,xGA_week10,xGA_week11,xGA_week12,xGA_week13,xGA_week14,xGA_week15,xGA_week16,xGA_week17,xGA_week18,xGA_week19,xGA_week2,xGA_week20,xGA_week21,xGA_week3,xGA_week4,xGA_week5,xGA_week6,xGA_week7,xGA_week8,xGA_week9,xG_points,xG_week1,xG_week10,xG_week11,xG_week12,xG_week13,xG_week14,xG_week15,xG_week16,xG_week17,xG_week18,xG_week19,xG_week2,xG_week20,xG_week21,xG_week3,xG_week4,xG_week5,xG_week6,xG_week7,xG_week8,xG_week9,xPoints,xPoints week 1,xPoints week 10,xPoints week 11,xPoints week 12,xPoints week 13,xPoints week 14,xPoints week 15,xPoints week 16,xPoints week 17,xPoints week 18,xPoints week 19,xPoints week 2,xPoints week 20,xPoints week 21,xPoints week 3,xPoints week 4,xPoints week 5,xPoints week 6,xPoints week 7,xPoints week 8,xPoints week 9,xPoints_next10,yellow_cards,gameweek 31 prediction
1,6.915107361384909,2.305035787128303,0,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,0,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,48,100.0,100.0,2.915107361384909,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80201,,,0,0,-5,5,0.0,558,63,,,0,1,0.0,-0.5,0,Bernd,0.0,,,1.6547879838251456,,3.0,21,,,,,,,,,,,,,,3.634978771209717,4.15131425857544,4.152835845947266,0.0,3.96639347076416,0.0,4.291633129119873,3.6734485626220703,,4.013225555419922,,,,,,,9,0,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,7.9,390,27,False,79.0,334,26,270,,2021-12-06T23:00:13.342729Z,45,0,0,,0,,80201.jpg,1.3,0,9,Leno,0.9,False,,a,1,3,Arsenal,0.0,539,57,4,62553,563,184927,1193,0.5122301749174007,,,1.0866042906373963,0.0,7.065966341230604,0.9,Leno,0.0,0.0,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,2.09012717213605,,,,,,,,,,,2.220092880225629,,,1.0894830874246624,,,,,,,31.79684853553772,0,3.913018941879273
2,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,115918,,,0,0,0,0,0.0,473,26,,,0,1,0.0,0.0,0,Rúnar Alex,0.0,,,,,,21,,,,,,,,,,,,,,2.74377965927124,3.62080717086792,3.5523340702056885,0.0,3.3062517642974854,0.0,3.90226674079895,3.112377405166626,,3.4127237796783447,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0.0,490,48,False,0.0,487,48,0,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.069158Z,40,0,0,,0,,115918.jpg,0.0,0,0,Rúnarsson,0.6,False,,u,1,3,Arsenal,0.0,436,16,0,19017,0,73758,1444,,,,,0.0,6.730521976947784,0.0,Rúnarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.922087907791138,0,3.271547317504883
3,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,47431,,,0,0,-2,2,0.0,677,276,,,0,3,0.0,0.0,0,Willian,0.0,,,,,,21,,,,,,,,,,,,,,2.191969394683838,2.6197516918182373,2.491642475128174,0.0,2.334793329238892,0.0,3.026736259460449,2.4476139545440674,,2.411668539047241,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0.0,677,276,False,0.0,677,276,0,Transferred to Corinthians,2021-08-20T09:30:14.065783Z,63,0,0,,0,,47431.jpg,0.0,0,0,Borges Da Silva,0.1,False,,u,1,3,Arsenal,0.0,677,276,0,914,0,20390,23,,,,,0.0,3.1436741919744584,0.0,Willian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.805147409439087,0,2.2809717655181885
4,50.411,3.6007857142857143,1,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,3.0,0.0,1.0,0.0,3.0,0.0,131,0.0,0.0,0.0,6,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,54694,,,0,0,-4,4,132.4,164,28,,,0,4,0.0,0.0,0,Pierre-Emerick,0.0,3.1,3.496777777777778,3.669357142857143,,14.0,21,,,,,,,,,,,,,,2.47799015045166,3.492804765701294,2.955019235610962,0.0,2.7917351722717285,0.0,3.5254340171813965,2.9696147441864014,,2.962888479232788,,,,,,,16,4,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,92.9,45,13,False,217.6,169,20,1036,International Duty - Expected back 10 Feb,2021-12-31T15:00:18.553448Z,96,0,2,1.0,0,,54694.jpg,3.1,0,0,Aubameyang,1.5,False,,i,1,3,Arsenal,582.0,14,6,44,742333,184,876883,7859,0.37508184523809524,0.3229166666666667,,1.1621485920575125,0.0,2.4856424083312354,4.6,Aubameyang,0.8,2.4000000000000004,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,0.1,0.4,0.0,0.0,0.1999999999999999,0.1,5.8,6.6,0.4714285714285714,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,22.24,,0.2999999999999998,0.9000000000000004,0.2000000000000001,0.5999999999999996,0.5,0.2999999999999998,,,,,0.0,,,0.0,1.3,0.0999999999999998,0.2000000000000001,0.0999999999999998,0.3,1.0,,,3.2,2.6000000000000014,2.8000000000000007,3.3999999999999986,4.0,2.2,,,,,1.0,,,1.0,10.5,3.6,3.8000000000000007,2.3999999999999995,6.8,4.071,23.86216711997986,3,2.686680555343628
5,6.186809815179879,1.5467024537949696,0,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,,,,,0,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,,,,,25,75.0,25.0,3.886809815179879,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58822,,,0,0,-3,3,40.5,289,91,,,0,2,0.2,-0.1,0,Cédric,0.2,1.0,1.0,0.6523939919125727,1.0,4.0,21,,,,,,,,,,,,,,1.687630534172058,2.491246461868286,2.4097886085510254,0.0,2.1874547004699707,0.0,2.7786014080047607,1.906763792037964,,2.27017879486084,,,,,,,8,0,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,,,,,7.3,395,141,False,31.4,396,148,214,Knock - 75% chance of playing,2022-01-13T23:00:13.573747Z,42,0,0,,0,,58822.jpg,0.5,0,0,Soares,0.1,False,,d,1,3,Arsenal,1.0,406,154,2,13067,156,25145,219,0.36826248899880226,0.23809523809523808,0.23809523809523808,0.7547135187440931,0.0,4.203880798249018,0.5,Cédric,0.1,0.3,,,,,,,,,,0.0,,0.1,,,0.0,0.0,,,,,,0.0,0.1,0.025,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,1.0,,1.5200928802256288,,,-0.9105169125753376,1.0,,,,,,17.656299352645874,1,1.9246350526809688
6,45.753,3.0502,3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0.0,0.0,,,,0.0,0.0,0.0,3,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,,0.0,0.0,,,,0.0,0.0,0.0,164,100.0,100.0,0.0,5,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59966,,,0,0,-1,1,197.0,105,15,5.0,,1,4,5.2,4.7,2,Alexandre,5.2,3.890333333333333,3.2652142857142854,3.1141999999999994,5.95325,15.0,21,,,,,,,,,,,,,,3.0525753498077397,3.9686646461486816,3.610339403152466,0.0,3.478417158126831,0.0,4.818177223205566,3.5205023288726807,,3.624667167663574,,,,,,,7,3,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.0,0.0,,,,0.0,1.0,0.0,73.9,78,20,False,234.0,154,18,858,,2021-08-13T14:30:14.582063Z,84,0,1,2.0,0,,59966.jpg,3.1,0,0,Lacazette,4.3,False,,a,1,3,Arsenal,309.0,61,26,46,784742,49001,607333,50107,0.36311904761904756,0.46313492063492057,0.708720238095238,1.0524189845530243,0.6,3.493234316507975,5.5,Lacazette,1.0,3.0,,0.0,0.0999999999999999,0.2,0.0,0.0,0.0,0.0,0.3,0.0999999999999999,0.0,,,0.0999999999999999,0.0,,,,0.0,0.2,0.0,4.1,5.1,0.33999999999999997,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,,0.0,1.6999999999999993,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,15.439999999999998,,0.0,0.1999999999999999,0.0,0.1,0.0,0.0,0.3,1.1999999999999995,0.8000000000000003,0.9999999999999996,,,0.0,0.0,,,,0.0,0.5,0.0,2.3,,1.0,3.1,2.6,1.4000000000000004,1.0,2.0,4.2,6.470999999999999,6.271000000000001,8.770999999999997,,,2.3,1.0,,,,1.0,3.6,2.0,29.343168258666992,0,3.269824981689453
7,19.800256134487423,1.9800256134487424,1,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,,,0.0,,,,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,102,0.0,100.0,2.4292561344874244,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84450,,,0,0,-2,2,140.6,156,96,4.0,,0,3,0.0,2.0,1,Granit,2.5,2.5637592600967087,2.5637592600967087,1.9744944293705269,2.8664661208286963,10.0,21,,,,,,,,,,,,,,2.2351086139678955,2.5611205101013184,2.527724266052246,0.0,2.4019103050231934,0.0,2.700963020324707,2.3473713397979736,,2.451007127761841,,,,,,,15,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,34.4,242,116,False,125.2,282,120,825,Suspended until 23 Jan,2022-01-10T00:00:11.840953Z,48,0,0,,0,,84450.jpg,1.8,1,0,Xhaka,0.3,False,,s,1,3,Arsenal,79.0,241,127,18,25555,1005,83403,1272,0.41250533613515467,0.5341165125201477,0.5971804418393117,0.9037539107699005,0.5,4.0739792088667555,3.8,Xhaka,0.7,2.1,0.1,,,,,,0.0,0.0,0.0,0.5,0.0999999999999999,0.0,,0.0,0.0,,,0.0,,,,0.5,1.2,0.12,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,2.5,0.1,,,,,,0.0,0.0,0.3,0.0999999999999999,0.0,0.0,,0.0,0.0,,,0.0,,,,1.1826835240527347,3.0725317930340124,,,,,,1.3678794411714423,2.5488116360940256,4.17032004603564,3.99413016014843,2.11873075307798,2.055023220056407,,1.1826835240527347,-2.0,,,2.3328710836980795,,,,19.555100202560425,4,2.32989501953125
8,5.043404907589939,2.521702453794969,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,35,100.0,100.0,1.94340490758994,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92371,,,0,0,-3,3,12.3,370,134,,,0,2,0.0,-0.5,0,Pablo,0.0,,,0.5200928802256288,,2.0,21,,,,,,,,,,,,,,2.3159029483795166,3.314340114593506,3.038216352462769,0.0,2.834132194519043,0.0,3.950605630874634,2.7297019958496094,,2.916856288909912,,,,,,,4,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,7.9,389,137,False,55.4,355,134,180,,2021-12-18T22:30:09.516192Z,42,0,0,,0,,92371.jpg,0.5,0,0,Marí,0.1,False,,a,1,3,Arsenal,11.0,368,134,1,5631,69,14120,123,0.6004053461416593,,,1.2304648043065027,0.0,5.6180671850840245,0.2,Marí,0.1,0.3,0.0,,,,,,,,,,,0.1,,,,,,,,,,0.3,0.4,0.2,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,1.7999999999999998,0.3,,,,,,,,,,,0.0,,,,,,,,,,,3.89012717213605,,,,,,,,,,,0.5200928802256288,,,,,,,,,,23.595882177352905,1,2.496126651763916
9,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,98745,,,0,0,-2,2,0.0,632,227,,,0,2,0.0,0.0,0,Héctor,0.0,,,,,,21,,,,,,,,,,,,,,2.325758695602417,3.157531976699829,3.037510633468628,0.0,2.7555360794067383,0.0,3.635523557662964,2.632951021194458,,2.8979005813598637,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0.0,637,227,False,0.0,637,227,0,Joined Real Betis on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.090880Z,48,0,0,,0,,98745.jpg,0.0,0,0,Bellerín,0.2,False,,u,1,3,Arsenal,0.0,622,225,0,3737,0,70164,116,,,,,0.0,4.790639579296111,0.0,Bellerín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.995069980621334,0,2.5523574352264404
10,3.84340490758994,1.9217024537949696,0,0.0,,,,,,,,,,,,,,0.0,,,,,,,0,0.0,,,,,,,,,,,,,,0.0,,,,,,,27,75.0,25.0,1.94340490758994,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101184,,,0,0,-3,3,17.2,351,122,,,0,2,0.0,-0.1,0,Calum,0.0,,,0.0894830874246624,,2.0,21,,,,,,,,,,,,,,2.0314552783966064,2.9224512577056885,2.753612756729126,0.0,2.5312788486480717,0.0,3.209806203842163,2.3379688262939453,,2.6140029430389404,,,,,,,7,0,0.0,,,,,,,,,,,,,,0.0,,,,,,,7.5,393,139,False,45.4,368,138,170,Knock - 75% chance of playing,2022-01-13T23:00:13.596699Z,42,0,0,,0,,101184.jpg,0.5,0,0,Chambers,0.2,False,,d,1,3,Arsenal,12.0,365,131,1,10132,75,31190,269,0.45754820328451656,,,0.937694782421943,0.0,4.92119896979559,0.2,Chambers,0.1,0.3,0.1,,,,,,,,,,,,,,0.0,,,,,,,0.1,0.2,0.1,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.6000000000000001,0.1,,,,,,,,,,,,,,0.0,,,,,,,,2.9901271721360505,,,,,,,,,,,,,,0.0894830874246624,,,,,,,20.66903567314148,0,2.2684595584869385
