Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Manchester City,1,17,13,2,2,40,9,31,41,40.1,10.5,29.6,1.74,W W W W W,52552,Bernardo Silva - 7,Ederson,,2.3588235294117648,0.6176470588235294,0.539211679500719
Liverpool,2,17,12,4,1,48,13,35,40,43.8,15.0,28.8,1.7,W W W W W,52940,Mohamed Salah - 15,Alisson,,2.576470588235294,0.8823529411764706,0.4138080991773701
Chelsea,3,17,11,4,2,39,12,27,37,32.6,17.2,15.4,0.91,D W L W D,36991,Mason Mount - 7,Edouard Mendy,,1.9176470588235295,1.011764705882353,0.36357680698533285
Arsenal,4,17,9,2,6,23,22,1,29,23.2,24.8,-1.6,-0.09,W L L W W,59419,Emile Smith-Rowe - 6,Aaron Ramsdale,,1.3647058823529412,1.4588235294117649,0.23250965465668968
West Ham,5,17,8,4,5,28,21,7,28,22.3,20.6,1.7,0.1,L D W D L,58624,Michail Antonio - 6,Łukasz Fabiański,,1.311764705882353,1.211764705882353,0.29767151298478955
Manchester Utd,6,16,8,3,5,26,24,2,27,22.7,25.6,-2.9,-0.18,L D W W W,72998,Cristiano Ronaldo - 7,David de Gea,,1.41875,1.6,0.20189651799465538
Tottenham,7,14,8,1,5,16,17,-1,25,17.1,16.6,0.5,0.04,L D W W W,57463,Son Heung-min - 6,Hugo Lloris,,1.2214285714285715,1.1857142857142857,0.3055278673484055
Wolves,8,17,7,3,7,13,14,-1,24,17.7,23.3,-5.6,-0.33,D D L L W,30477,Hwang Hee-chan - 4,José Sá,,1.0411764705882351,1.3705882352941177,0.25395752882523326
Leicester City,9,16,6,4,6,27,27,0,22,24.1,25.4,-1.3,-0.08,L W D L W,32453,Jamie Vardy - 9,Kasper Schmeichel,,1.50625,1.5875,0.204436063562474
Aston Villa,10,17,7,1,9,23,25,-2,22,17.6,23.2,-5.6,-0.33,W L W L W,41827,Ollie Watkins - 5,Emiliano Martínez,,1.035294117647059,1.3647058823529412,0.2554557989985636
Crystal Palace,11,17,4,8,5,24,24,0,20,20.7,17.6,3.1,0.18,L L L W D,24244,Conor Gallagher - 6,Vicente Guaita,,1.2176470588235293,1.035294117647059,0.35512191794057724
Brentford,12,16,5,5,6,21,22,-1,20,20.6,19.2,1.4,0.09,D W L D W,16785,Ivan Toney - 4,David Raya,,1.2875,1.2,0.30119421191220214
Brighton,13,16,4,8,4,14,17,-3,20,18.4,19.9,-1.5,-0.09,L D D D L,30798,Neal Maupay - 6,Robert Sánchez,,1.15,1.24375,0.2883010593135283
Everton,14,17,5,4,8,21,29,-8,19,20.8,25.4,-4.6,-0.27,L L W L D,37860,Demarai Gray - 5,Jordan Pickford,,1.223529411764706,1.4941176470588236,0.22444655846616143
Southampton,15,17,3,8,6,16,26,-10,17,21.8,23.0,-1.2,-0.07,L D D L D,29436,Armando Broja - 4,Alex McCarthy,,1.2823529411764707,1.3529411764705883,0.2584789094739671
Leeds United,16,17,3,7,7,17,32,-15,16,20.8,29.7,-8.9,-0.52,D W D L L,36204,Raphael Dias Belloli - 7,Illan Meslier,,1.223529411764706,1.7470588235294118,0.17428579563894733
Watford,17,16,4,1,11,21,31,-10,13,18.9,31.1,-12.2,-0.76,W L L L L,20603,Emmanuel Dennis - 7,"Ben Foster, Daniel Bachmann",,1.18125,1.94375,0.1431660691225936
Burnley,18,15,1,8,6,14,21,-7,11,15.1,22.2,-7.0,-0.47,D D D L D,18464,Maxwel Cornet - 5,Nick Pope,,1.0066666666666666,1.48,0.22763768838381274
Newcastle Utd,19,17,1,7,9,18,37,-19,10,15.2,29.9,-14.6,-0.86,L D W L L,50544,Callum Wilson - 6,Karl Darlow,,0.8941176470588235,1.7588235294117647,0.1722473886540896
Norwich City,20,17,2,4,11,8,34,-26,10,15.7,29.1,-13.4,-0.79,D D L L L,26929,Teemu Pukki - 5,Tim Krul,,0.9235294117647058,1.711764705882353,0.18054689914832214
