,General,General,General,General,General,General,General,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,General
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
0,1,Max Aarons,eng ENG,DF,Norwich City,22-003,2000,18,18,1620,18.0,0,1,0,0,0,4,0,0.0,0.06,0.06,0.0,0.06,0.6,0.6,0.9,1.4,0.03,0.05,0.08,0.03,0.08,Matches
1,2,Che Adams,sct SCO,FW,Southampton,25-178,1996,13,11,868,9.6,3,1,3,0,0,0,0,0.31,0.1,0.41,0.31,0.41,2.4,2.4,1.4,3.8,0.25,0.15,0.4,0.25,0.4,Matches
2,3,Rayan Aït Nouri,fr FRA,DF,Wolves,20-215,2001,9,8,718,8.0,0,1,0,0,0,1,0,0.0,0.13,0.13,0.0,0.13,0.3,0.3,0.6,0.8,0.04,0.07,0.11,0.04,0.11,Matches
3,4,Kristoffer Ajer,no NOR,DF,Brentford,23-265,1998,7,6,565,6.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,0.03,0.05,0.07,0.03,0.07,Matches
4,5,Nathan Aké,nl NED,DF,Manchester City,26-323,1995,8,6,581,6.5,1,0,1,0,0,0,0,0.15,0.0,0.15,0.15,0.15,0.3,0.3,0.0,0.3,0.04,0.0,0.04,0.04,0.04,Matches
5,6,Marc Albrighton,eng ENG,"DF,FW",Leicester City,32-050,1989,8,4,430,4.8,1,0,1,0,0,1,0,0.21,0.0,0.21,0.21,0.21,0.5,0.5,0.3,0.7,0.1,0.06,0.15,0.1,0.15,Matches
6,7,Thiago Alcántara,es ESP,MF,Liverpool,30-271,1991,11,8,676,7.5,1,1,1,0,0,1,0,0.13,0.13,0.27,0.13,0.27,1.5,1.5,1.0,2.5,0.19,0.13,0.33,0.19,0.33,Matches
7,8,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23-092,1998,18,18,1594,17.7,2,9,2,0,0,1,0,0.11,0.51,0.62,0.11,0.62,1.9,1.9,7.1,9.0,0.11,0.4,0.51,0.11,0.51,Matches
8,9,Alisson,br BRA,GK,Liverpool,29-097,1992,18,18,1620,18.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
9,10,Allan,br BRA,MF,Everton,30-364,1991,16,16,1407,15.6,0,2,0,0,0,2,0,0.0,0.13,0.13,0.0,0.13,0.1,0.1,0.5,0.6,0.01,0.03,0.04,0.01,0.04,Matches
10,11,Dele Alli,eng ENG,"MF,FW",Tottenham,25-271,1996,10,8,657,7.3,1,0,0,1,1,1,0,0.14,0.0,0.14,0.0,0.0,1.5,0.7,0.8,1.5,0.2,0.11,0.31,0.1,0.21,Matches
11,12,Miguel Almirón,py PAR,MF,Newcastle Utd,27-331,1994,16,11,975,10.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.4,1.3,0.08,0.04,0.12,0.08,0.12,Matches
12,13,Marcos Alonso,es ESP,DF,Chelsea,31-010,1990,15,14,1257,14.0,1,2,1,0,0,4,0,0.07,0.14,0.21,0.07,0.21,1.6,1.6,2.8,4.4,0.11,0.2,0.31,0.11,0.31,Matches
